recipe_tag	coefficient
peanutdressing	0.012592960388800846
peanuts	0.003055008681133117
peppers	0.002753600501402887
pickledvegetables	0.02906095684258156
pie	0.0956217121195759
piecrust	0.006004599720609231
pork	0.003055008681133117
porkbelly	0.0046308721315813164
potatoes	0.004472766558344607
protein	-0.0038969182284570108
puffpastry	-0.0026230906181247877
quiche	0.03384750772946794
quick	0.015223061504999542
ramen	0.0046308721315813164
refreshing	0.0254935028025516
relish	0.01740328989055808
rhubarb	0.0254935028025516
rice	-0.01896275976172726
ricevinegar	0.01067632918945804
rich	0.05732807140486143
ricotta	-0.0003620033552435824
salad	0.017672689908551913
salsa	0.02057889644336454
salty	-0.010022654190279744
sandwich	0.0050309882654504
sauce	0.01740328989055812
savory	0.00181440995142137
scallions	0.00307101465544468
scallops	-0.01850909693846034
seafood	0.010289667621311914
sesame	0.012150392326954144
sesameoil	0.01067632918945804
sesameseeds	0.01067632918945804
shrimp	-0.006251378596873621
sichuancuisine	0.01858479528203127
sichuanpeppercorns	0.00307101465544468
sidedish	0.02316456167694743
sidedishes	0.015745506471093976
skewers	-0.006251378596873621
smoky	-0.031032864265659682
snack	0.017976973925873926
snacks	0.008326079541798294
sobanoodles	0.016656433858302865
soft	0.010685327415857145
souffle	0.0022375143551360208
soup	0.015476225311282694
sourcream	0.01428850851255746
southern	0.05286352171276
southerncuisine	0.02448809515898713
soysauce	0.019648820580007498
spam	-0.03266137656660945
spices	-0.003409854172712258
spicy	0.02318397660656461
spicyfood	0.015241386958848064
spinach	0.012745027300340965
spring	0.0026447174540157638
steamed	0.001677084865842904
stirfry	0.015513780626586593
strawberry	0.0254935028025516
streetfood	0.01997071651334992
stuffedpeppers	0.015241386958848064
summer	0.08347373872195372
sushi	-0.01896275976172726
sweet	0.04602575551500497
sweetandsalty	-0.1699290359688786
sweetandsavory	-0.046007435153197024
sweettreat	0.009830966223900468
taco	0.013815605561115319
tacos	0.007866225153291563
tangy	0.0603000825836678
tart	0.01740328989055812
tea	0.012454056842025255
tempura	0.01760757711354132
tender	0.018698054098391304
texmex	0.002753600501402887
thanksgiving	0.034806579781116204
toast	0.0050309882654504
tomato	-0.0066436697718947075
tomatoes	0.008336631779913426
tomatosauce	0.02087678263751476
tortilla	0.0025013149938865405
tortillabowl	0.013815605561115319
tortillachips	-0.008735876041364252
tortillas	0.007226367059747494
traditional	0.001677084865842904
twisted	0.01994851742091874
udonnoodles	0.01760757711354132
vanilla	-0.02921333044470265
vanillaicecream	-0.0011941810932057807
vegan	0.008508870897394931
vegetables	0.01447737005519797
vegetarian	0.0528178911593729
warm	-0.0026230906181247877
whippedcream	-0.0011941810932057807
winter	0.038140395271445575
yeastdough	0.01994851742091874
